scenario,run,seed,method,clusters,non_compliant_total,clusters_with_non_compliant,max_non_compliant_concentration,mean_non_compliant_concentration,average_non_compliant_per_cluster,cluster_size_std,cluster_size_range,clustering_time_sec
S1_90_0_10,24,10023,Security-Aware,10,10,10,0.1111111111111111,0.10020202020202021,1.0,0.4714045207910317,2,0.0005374159954953939
S1_90_0_10,25,10024,Baseline,10,10,7,0.2222222222222222,0.09858585858585858,1.0,0.9428090415820634,3,0.00036762497620657086
S1_90_0_10,25,10024,Security-Aware,10,10,10,0.1111111111111111,0.10095959595959596,1.0,1.0540925533894598,3,0.0005329170089680701
S1_90_0_10,26,10025,Baseline,10,10,7,0.25,0.1042929292929293,1.0,1.0540925533894598,4,0.0003788330068346113
S1_90_0_10,26,10025,Security-Aware,10,10,10,0.1111111111111111,0.10055555555555556,1.0,0.816496580927726,3,0.0005324170051608235
S1_90_0_10,27,10026,Baseline,10,10,5,0.3,0.1025,1.0,0.9428090415820634,4,0.00038537499494850636
S1_90_0_10,27,10026,Security-Aware,10,10,10,0.1111111111111111,0.1006060606060606,1.0,0.816496580927726,2,0.0005489159957505763
S1_90_0_10,28,10027,Baseline,10,10,8,0.3,0.10171717171717172,1.0,1.3333333333333333,4,0.00037662501563318074
S1_90_0_10,28,10027,Security-Aware,10,10,10,0.1111111111111111,0.1006060606060606,1.0,0.816496580927726,2,0.0005399170040618628
S1_90_0_10,29,10028,Baseline,10,10,7,0.2222222222222222,0.1006060606060606,1.0,0.6666666666666666,2,0.00037495800643227994
S1_90_0_10,29,10028,Security-Aware,10,10,10,0.1111111111111111,0.1006060606060606,1.0,0.816496580927726,2,0.0005382919916883111
S1_90_0_10,30,10029,Baseline,10,10,6,0.3,0.10131313131313131,1.0,0.816496580927726,2,0.000378625001758337
S1_90_0_10,30,10029,Security-Aware,10,10,10,0.1111111111111111,0.1006060606060606,1.0,0.816496580927726,2,0.00053962497622706
S1_90_0_10,31,10030,Baseline,10,10,7,0.3333333333333333,0.10373737373737374,1.0,0.9428090415820634,2,0.00037316701491363347
S1_90_0_10,31,10030,Security-Aware,10,10,10,0.125,0.10123737373737374,1.0,1.1547005383792515,4,0.0005339580238796771
S1_90_0_10,32,10031,Baseline,10,10,7,0.2,0.09797979797979799,1.0,0.9428090415820634,3,0.008313124999403954
S1_90_0_10,32,10031,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0005446660215966403
S1_90_0_10,33,10032,Baseline,10,10,6,0.3333333333333333,0.0996969696969697,1.0,0.816496580927726,2,0.00038187499740161
S1_90_0_10,33,10032,Security-Aware,10,10,10,0.1111111111111111,0.10075757575757575,1.0,0.9428090415820634,3,0.0005342919903341681
